,job_title,department,salary,Join Date
0,WATER RATE TAKER,WATER MGMNT,$87228.0,2000-09-27 00:00:00
1,POLICE OFFICER,POLICE,$75372.0,2000-08-04 00:00:00
2,POLICE OFFICER,POLICE,$75372.0,2000-01-20 00:00:00
3,CHIEF CONTRACT EXPEDITER,GENERAL SERVICES,$80916.0,2000-04-27 00:00:00
4,CIVIL ENGINEER IV,WATER MGMNT,$99648.0,2000-02-11 00:00:00
5,ASST TO THE ALDERMAN,CITY COUNCIL,$70764.0,2000-11-12 00:00:00
6,GENERAL LABORER - DSS,STREETS & SAN,$40560.0,2000-01-13 00:00:00
7,ELECTRICAL MECHANIC,AVIATION,$89440.0,2000-03-25 00:00:00
8,FIRE ENGINEER,FIRE,$84396.0,2000-06-17 00:00:00
9,POLICE OFFICER,POLICE,$80724.0,2000-12-01 00:00:00
10,FOSTER GRANDPARENT,FAMILY & SUPPORT,$2756.0,2000-06-27 00:00:00
11,CLERK III,POLICE,$41784.0,2000-01-16 00:00:00
12,INVESTIGATOR - IPRA II,IPRA,$65808.0,2000-05-24 00:00:00
13,POLICE OFFICER,POLICE,$65016.0,2000-05-13 00:00:00
14,POLICE OFFICER,POLICE,$75372.0,2000-04-24 00:00:00
15,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,$90738.0,2000-02-22 00:00:00
16,POLICE OFFICER,POLICE,$75372.0,2000-03-15 00:00:00
17,PARAMEDIC I/C,FIRE,$81672.0,2000-03-09 00:00:00
18,ENGINEERING TECHNICIAN VI,WATER MGMNT,$96384.0,2000-02-27 00:00:00
19,LEGISLATIVE AIDE,CITY COUNCIL,$25008.0,2000-07-24 00:00:00
20,FIREFIGHTER-EMT,FIRE,$84762.0,2000-01-07 00:00:00
21,LIEUTENANT,FIRE,$102978.0,2000-06-16 00:00:00
22,CROSSING GUARD,POLICE,$16525.6,2000-03-03 00:00:00
23,ELECTRICAL MECHANIC-AUTO-POLICE MTR MNT,GENERAL SERVICES,$89440.0,2000-01-15 00:00:00
24,GENERAL LABORER - DSS,STREETS & SAN,$40560.0,2000-07-27 00:00:00
25,POLICE OFFICER,POLICE,$78012.0,2000-03-15 00:00:00
26,MOTOR TRUCK DRIVER,STREETS & SAN,$70408.0,2000-05-26 00:00:00
27,SENIOR PROGRAMMER/ANALYST,FAMILY & SUPPORT,$99648.0,2000-06-02 00:00:00
28,CIVIL ENGINEER IV,WATER MGMNT,$99648.0,2000-02-12 00:00:00
29,ENGINEERING TECHNICIAN V,BUSINESS AFFAIRS,$91980.0,2000-12-08 00:00:00
30,POLICE OFFICER,POLICE,$43104.0,2000-11-20 00:00:00
31,SUPERVISING TRAFFIC CONTROL AIDE,OEMC,$55248.0,2000-01-28 00:00:00
32,SANITATION LABORER,STREETS & SAN,$70969.6,2000-05-16 00:00:00
33,POLICE OFFICER,POLICE,$86130.0,2000-04-07 00:00:00
34,AMBULANCE COMMANDER,FIRE,$115644.0,2000-11-02 00:00:00
35,FIREFIGHTER-EMT,FIRE,$79140.0,2000-11-06 00:00:00
36,SEWER BRICKLAYER,WATER MGMNT,$86486.4,2000-11-23 00:00:00
37,TREE TRIMMER,STREETS & SAN,$73008.0,2000-03-18 00:00:00
38,TRAFFIC SIGNAL REPAIRMAN,TRANSPORTN,$93288.0,2000-02-01 00:00:00
39,PERSONAL COMPUTER OPERATOR II,HEALTH,$57828.0,2000-03-15 00:00:00
40,FIREFIGHTER-EMT,FIRE,$84762.0,2000-10-01 00:00:00
41,SENIOR COMPANION,FAMILY & SUPPORT,$2756.0,2000-07-19 00:00:00
42,POLICE OFFICER,POLICE,$80724.0,2000-04-26 00:00:00
43,ELECTRICAL MECHANIC,AVIATION,$89440.0,2000-11-04 00:00:00
44,POLICE OFFICER,POLICE,$80724.0,2000-12-18 00:00:00
45,SENIOR ENVIRONMENTAL INSPECTOR,HEALTH,$69648.0,2000-07-27 00:00:00
46,CIVIL ENGINEER II,WATER MGMNT,$83640.0,2000-03-11 00:00:00
47,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,$84756.0,2000-12-02 00:00:00
48,MOTOR TRUCK DRIVER,STREETS & SAN,$70408.0,2000-10-23 00:00:00
49,CONSTRUCTION LABORER,WATER MGMNT,$76960.0,2000-08-04 00:00:00
50,POLICE OFFICER,POLICE,$75372.0,2000-11-16 00:00:00
51,POLICE OFFICER,POLICE,$86130.0,2000-12-06 00:00:00
52,POLICE OFFICER,POLICE,$78012.0,2000-07-13 00:00:00
53,DIVISION SUPERINTENDENT,STREETS & SAN,$102246.0,2000-07-01 00:00:00
54,MOTOR TRUCK DRIVER,STREETS & SAN,$71468.8,2000-02-18 00:00:00
55,ADMINISTRATIVE ASST,MAYOR'S OFFICE,$48000.0,2000-11-28 00:00:00
56,POLICE OFFICER,POLICE,$71748.0,2000-08-06 00:00:00
57,POLICE OFFICER,POLICE,$75372.0,2000-01-13 00:00:00
58,POLICE OFFICER,POLICE,$80724.0,2000-05-07 00:00:00
59,POLICE OFFICER,POLICE,$86130.0,2000-09-01 00:00:00
60,COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,HEALTH,$60600.0,2000-11-17 00:00:00
61,POLICE OFFICER,POLICE,$78012.0,2000-02-09 00:00:00
62,FIREFIGHTER,FIRE,$83982.0,2000-04-21 00:00:00
63,LIEUTENANT-EMT,FIRE,$108132.0,2000-03-08 00:00:00
64,POLICE OFFICER,POLICE,$61530.0,2000-01-16 00:00:00
65,POLICE OFFICER,POLICE,$71748.0,2000-03-27 00:00:00
66,POLICE OFFICER,POLICE,$78012.0,2000-07-01 00:00:00
67,ASPHALT LABORER,TRANSPORTN,$76960.0,2000-09-01 00:00:00
68,POLICE OFFICER,POLICE,$80724.0,2000-08-10 00:00:00
69,MOTOR TRUCK DRIVER,WATER MGMNT,$70408.0,2000-11-11 00:00:00
70,MOTOR TRUCK DRIVER,GENERAL SERVICES,$70408.0,2000-11-12 00:00:00
71,FIREFIGHTER,FIRE,$80724.0,2000-07-05 00:00:00
72,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$87372.0,2000-04-06 00:00:00
73,SENIOR PUBLIC INFORMATION OFFICER,BUSINESS AFFAIRS,$84780.0,2000-04-01 00:00:00
74,POLICE OFFICER,POLICE,$80724.0,2000-11-23 00:00:00
75,AVIATION SECURITY OFFICER,AVIATION,$63552.0,2000-03-27 00:00:00
76,POLICE OFFICER,POLICE,$78012.0,2000-03-23 00:00:00
77,POLICE OFFICER,POLICE,$78012.0,2000-05-22 00:00:00
78,POLICE OFFICER,POLICE,$78012.0,2000-08-27 00:00:00
79,POLICE OFFICER,POLICE,$80724.0,2000-07-17 00:00:00
80,ASST CORPORATION COUNSEL SUPVSR,LAW,$91068.0,2000-04-04 00:00:00
81,POLICE OFFICER,POLICE,$80724.0,2000-10-14 00:00:00
82,FIREFIGHTER-EMT,FIRE,$84762.0,2000-04-15 00:00:00
